City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,san francisco de la paz,14.9,-86.2,19.93,80,100,1.19,HN,1682057402
177,sydney,-33.8679,151.2073,22.16,68,75,6.69,AU,1682057396
178,ploneour-lanvern,47.9,-4.2833,7.16,87,0,2.57,FR,1682057403
179,floro,61.5996,5.0328,10.54,76,0,2.06,NO,1682057403
180,puerto ayora,-0.7393,-90.3518,24.75,100,82,3.08,EC,1682057404
181,westport,41.1415,-73.3579,11.16,76,75,0.89,US,1682057404
182,nsanje,-16.92,35.262,24.14,79,0,0.85,MW,1682057404
183,cockburn town,21.4612,-71.1419,25.28,76,81,7.83,TC,1682057405
184,guarapari,-20.6667,-40.4975,23.27,75,93,5.76,BR,1682057405
185,bukittinggi,-0.3091,100.3706,24.98,80,97,0.45,ID,1682057406
186,kudahuvadhoo,2.6708,72.8944,28.76,69,70,2.03,MV,1682057406
187,luderitz,-26.6481,15.1594,13.47,68,0,6.5,NA,1682057407
188,kill devil hills,36.0307,-75.676,19.43,68,0,3.09,US,1682057408
189,iqaluit,63.7506,-68.5145,-4.61,92,100,0.89,CA,1682057408
190,sola,-13.8833,167.55,27.75,74,97,2.37,VU,1682057409
191,kismayo,-0.3582,42.5454,29.69,69,88,2.69,SO,1682057409
192,tangalle,6.024,80.7911,31.96,60,14,5.78,LK,1682057410
193,batticaloa,7.7102,81.6924,30.57,65,36,2.26,LK,1682057410
194,puerto baquerizo moreno,-0.9,-89.6,26.3,80,70,4.32,EC,1682057411
195,longjing,42.7714,129.4233,10.68,16,19,9.48,CN,1682057411
196,nogliki,51.8333,143.1667,0.19,91,100,11.21,RU,1682057412
197,codrington,-38.2667,141.9667,17.8,74,72,6.02,AU,1682057412
198,kavaratti,10.5669,72.642,29.06,67,97,1.96,IN,1682057413
199,nynashamn,58.9034,17.9479,7.48,71,29,2.69,SE,1682057413
200,agapovka,53.2973,59.1348,14.56,44,99,3.74,RU,1682057414
201,ulladulla,-35.35,150.4667,20.98,59,0,1.87,AU,1682057415
202,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,80,75,8.0,RU,1682057415
203,khandyga,62.6667,135.6,2.21,79,36,1.15,RU,1682057416
204,yelizovo,53.1873,158.3805,2.08,80,75,8.05,RU,1682057416
205,taitung city,22.7583,121.1444,24.15,88,100,2.57,TW,1682057417
206,sao tome,0.3365,6.7273,26.99,82,100,2.11,ST,1682057417
207,kiunga,-6.1219,141.2906,28.55,88,50,1.26,PG,1682057418
208,yeppoon,-23.1333,150.7333,29.88,65,67,8.52,AU,1682057418
209,noratus,40.3755,45.1772,11.97,57,19,4.59,AM,1682057418
210,san antonio de pale,-1.4014,5.6325,27.84,79,97,4.86,GQ,1682057419
211,badger,64.8,-147.5333,3.93,65,20,0.0,US,1682057420
212,beyneu,45.3167,55.2,19.63,14,51,11.73,KZ,1682057420
213,chenaran,36.6455,59.1212,19.77,16,1,0.63,IR,1682057421
214,da lat,11.9465,108.4419,25.55,58,84,1.5,VN,1682057421
215,lerwick,60.1545,-1.1494,5.0,88,4,1.47,GB,1682057423
216,ribeira brava,32.65,-17.0667,19.45,88,82,4.88,PT,1682057424
217,nasirabad,26.3,74.7333,33.6,7,0,2.9,IN,1682057425
218,suva,-18.1416,178.4415,25.71,89,75,2.57,FJ,1682057425
219,amahai,-3.3333,128.9167,29.28,73,61,3.34,ID,1682057425
220,changji,44.0167,87.3167,13.44,26,0,1.0,CN,1682057426
221,velasco ibarra,-1.05,-79.6167,23.44,94,100,0.62,EC,1682057426
222,al muwayh,22.4333,41.7583,25.14,42,11,2.89,SA,1682057427
223,nyurba,63.2842,118.3319,-0.4,81,99,4.73,RU,1682057427
224,kapuskasing,49.4169,-82.4331,-0.99,95,100,4.7,CA,1682057428
225,guerrero negro,27.9769,-114.0611,14.8,84,0,3.77,MX,1682057428
226,olonkinbyen,70.9221,-8.7187,-3.49,82,100,8.66,SJ,1682057428
227,afif,23.9065,42.9172,25.36,31,1,3.44,SA,1682057429
228,hermanus,-34.4187,19.2345,13.61,63,95,1.51,ZA,1682057430
